NaOH (mL),NaOH Added (mL),pH,Rogers_Paker
4.3,0,1.35,
5,0.7,1.36,
5.9,1.6,1.4,
7,2.7,1.45,
8,3.7,1.49,
9,4.7,1.54,
10,5.7,1.65,
10.9,6.6,1.67,
12,7.7,1.72,
12.9,8.6,1.79,
14,9.7,1.87,
15,10.7,1.97,
15.95,11.65,2.09,
17,12.7,2.26,
18,13.7,2.51,
18.9,14.6,2.96,
19.1,14.8,3.14,
19.2,14.9,3.33,
19.3,15,3.52,
19.4,15.1,3.89,
19.5,15.2,5.5,
19.6,15.3,7.06,
19.75,15.45,9.78,
