pH,NaOH_added_(mL),mL (NaOH),Allie_Madison
3.05,0,9.9,
4.02,3.1,13,
4.42,6.1,16,
4.78,9.1,19,
5.01,11.1,21,
5.36,13.1,23,
5.8,15.1,25,
6.52,16.1,26,
6.67,16.2,26.1,
6.9,16.25,26.15,
6.94,16.3,26.2,
7.04,16.35,26.25,
7.11,16.4,26.3,
7.18,16.45,26.35,
7.3,16.48,26.38,
7.34,16.49,26.39,
7.42,16.5,26.4,
7.66,16.6,26.5,
8.23,16.8,26.7,
9.09,16.9,26.8,
9.59,17.1,27,
